name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22,goal_percentage20,goal_percentage21,goal_percentage22,assists_percentage20,assists_percentage21,assists_percentage22,goalkeeper,deff,middle,attack
joelinton,26,Attacking Midfield,1.86,38000.0,0,0,36,6,3,3,0,0,37,4,1,8,0,0,40,8,3,13,0,0,0.16666666666666666,0.10810810810810811,0.2,0.08333333333333333,0.02702702702702703,0.075,0,0,1,0
aaron-ramsdale,25,Goalkeeper,1.9,38000.0,3,0,42,0,1,0,0,0,39,0,1,0,0,0,41,0,1,0,0,0,0.0,0.0,0.0,0.023809523809523808,0.02564102564102564,0.024390243902439025,1,0,0,0
nathan-ake,28,Centre-Back,1.8,35000.0,36,5,13,1,0,4,0,0,27,3,0,2,0,0,40,3,0,3,0,0,0.07692307692307693,0.1111111111111111,0.075,0.0,0.0,0.0,0,1,0,0
kalvin-phillips,27,Defensive Midfield,1.79,35000.0,26,0,31,1,3,11,0,0,23,1,1,4,0,0,21,0,0,1,0,0,0.03225806451612903,0.043478260869565216,0.0,0.0967741935483871,0.043478260869565216,0.0,0,0,1,0
bukayo-saka,21,Right Winger,1.78,110000.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,48,15,11,7,0,0,0.15217391304347827,0.27906976744186046,0.3125,0.21739130434782608,0.16279069767441862,0.22916666666666666,0,0,0,1
marc-guehi,22,Centre-Back,1.82,35000.0,3,0,45,0,0,8,0,0,42,4,1,4,0,0,40,1,0,8,0,0,0.0,0.09523809523809523,0.025,0.0,0.023809523809523808,0.0,0,1,0,0
jorginho,31,Defensive Midfield,1.78,35000.0,47,5,43,8,2,7,0,0,47,9,4,6,0,0,41,3,1,4,0,0,0.18604651162790697,0.19148936170212766,0.07317073170731707,0.046511627906976744,0.0851063829787234,0.024390243902439025,0,0,1,0
martin-odegaard,24,Attacking Midfield,1.78,80000.0,49,2,29,2,2,0,0,0,40,7,5,4,0,0,45,15,8,5,0,0,0.06896551724137931,0.175,0.3333333333333333,0.06896551724137931,0.125,0.17777777777777778,0,0,1,0
pedri,20,Central Midfield,1.74,100000.0,18,0,52,4,6,2,0,0,22,5,1,1,0,0,35,7,1,3,0,0,0.07692307692307693,0.22727272727272727,0.2,0.11538461538461539,0.045454545454545456,0.02857142857142857,0,0,1,0
vinicius-junior,22,Left Winger,1.76,120000.0,21,2,49,6,7,4,0,0,52,22,20,7,0,0,55,23,21,16,0,1,0.12244897959183673,0.4230769230769231,0.41818181818181815,0.14285714285714285,0.38461538461538464,0.38181818181818183,0,0,0,1
mohamed-salah,30,Right Winger,1.75,70000.0,87,49,51,31,6,0,0,0,51,31,16,1,0,0,51,30,16,2,0,0,0.6078431372549019,0.6078431372549019,0.5882352941176471,0.11764705882352941,0.3137254901960784,0.3137254901960784,0,0,0,1
federico-valverde,24,Central Midfield,1.82,100000.0,49,5,33,3,1,4,0,0,46,1,2,5,0,0,56,12,7,6,0,0,0.09090909090909091,0.021739130434782608,0.21428571428571427,0.030303030303030304,0.043478260869565216,0.125,0,0,1,0
gavi,18,Central Midfield,1.73,90000.0,19,3,2,0,0,0,0,0,48,2,6,16,1,0,49,3,7,15,0,0,0.0,0.041666666666666664,0.061224489795918366,0.0,0.125,0.14285714285714285,0,0,1,0
aurelien-tchouameni,23,Defensive Midfield,1.88,90000.0,22,2,42,3,4,8,1,0,50,5,3,13,1,0,50,0,4,4,0,0,0.07142857142857142,0.1,0.0,0.09523809523809523,0.06,0.08,0,0,1,0
rodrygo,22,Right Winger,1.74,80000.0,13,1,33,2,8,0,0,0,49,9,10,5,0,0,57,19,11,4,0,0,0.06060606060606061,0.1836734693877551,0.3333333333333333,0.24242424242424243,0.20408163265306123,0.19298245614035087,0,0,0,1
frenkie-de-jong,26,Central Midfield,1.81,60000.0,50,2,51,7,8,6,0,0,47,4,5,9,1,0,43,2,4,3,0,0,0.13725490196078433,0.0851063829787234,0.046511627906976744,0.1568627450980392,0.10638297872340426,0.09302325581395349,0,0,1,0
ronald-araujo,24,Centre-Back,1.88,70000.0,12,0,33,2,1,3,0,0,43,4,0,7,0,0,31,1,2,8,0,1,0.06060606060606061,0.09302325581395349,0.03225806451612903,0.030303030303030304,0.0,0.06451612903225806,0,1,0,0
eder-militao,25,Centre-Back,1.86,70000.0,28,1,21,2,1,4,0,1,50,2,3,9,0,1,51,7,1,9,0,0,0.09523809523809523,0.04,0.13725490196078433,0.047619047619047616,0.06,0.0196078431372549,0,1,0,0
jules-kounde,24,Centre-Back,1.8,60000.0,19,0,49,4,1,8,0,0,44,3,1,3,0,2,40,1,6,2,0,0,0.08163265306122448,0.06818181818181818,0.025,0.02040816326530612,0.022727272727272728,0.15,0,1,0,0
eduardo-camavinga,20,Central Midfield,1.82,60000.0,7,1,39,1,3,7,0,0,46,2,2,11,0,0,59,0,2,13,0,0,0.02564102564102564,0.043478260869565216,0.0,0.07692307692307693,0.043478260869565216,0.03389830508474576,0,0,1,0
thibaut-courtois,31,Goalkeeper,2.0,60000.0,101,0,51,0,1,0,0,0,52,0,1,0,0,0,49,0,1,0,0,0,0.0,0.0,0.0,0.0196078431372549,0.019230769230769232,0.02040816326530612,1,0,0,0
ousmane-dembele,26,Right Winger,1.78,60000.0,35,4,44,11,5,4,0,0,32,2,13,4,0,0,35,8,9,5,0,0,0.25,0.0625,0.22857142857142856,0.11363636363636363,0.40625,0.2571428571428571,0,0,0,1
mikel-oyarzabal,26,Left Winger,1.81,50000.0,23,6,43,13,10,2,0,0,33,15,4,1,0,1,28,4,1,2,0,0,0.3023255813953488,0.45454545454545453,0.14285714285714285,0.23255813953488372,0.12121212121212122,0.03571428571428571,0,0,0,1
raphinha,26,Right Winger,1.76,50000.0,16,5,38,8,11,4,0,0,36,11,3,7,0,0,50,10,12,10,0,0,0.21052631578947367,0.3055555555555556,0.2,0.2894736842105263,0.08333333333333333,0.24,0,0,0,1
mikel-merino,26,Central Midfield,1.89,50000.0,13,0,36,2,6,8,0,0,43,4,4,9,0,0,43,3,9,6,0,1,0.05555555555555555,0.09302325581395349,0.06976744186046512,0.16666666666666666,0.09302325581395349,0.20930232558139536,0,0,1,0
pau-torres,26,Centre-Back,1.91,45000.0,23,1,44,3,2,3,0,0,47,6,1,6,0,0,39,1,0,11,0,0,0.06818181818181818,0.1276595744680851,0.02564102564102564,0.045454545454545456,0.02127659574468085,0.0,0,1,0,0
david-alaba,30,Centre-Back,1.8,50000.0,99,15,45,2,7,7,0,0,46,3,4,4,0,0,39,2,3,4,0,0,0.044444444444444446,0.06521739130434782,0.05128205128205128,0.15555555555555556,0.08695652173913043,0.07692307692307693,0,1,0,0
rodrigo-de-paul,29,Central Midfield,1.8,40000.0,53,2,38,9,11,4,1,1,48,4,2,9,0,0,38,3,8,7,0,0,0.23684210526315788,0.08333333333333333,0.07894736842105263,0.2894736842105263,0.041666666666666664,0.21052631578947367,0,0,1,0
marc-andre-ter-stegen,31,Goalkeeper,1.87,40000.0,32,0,42,0,1,0,0,0,49,0,3,0,0,0,50,0,0,0,0,0,0.0,0.0,0.0,0.023809523809523808,0.061224489795918366,0.0,1,0,0,0
robert-lewandowski,34,Centre-Forward,1.85,40000.0,140,78,40,48,9,4,0,0,46,50,7,3,0,0,46,33,8,3,1,0,1.2,1.0869565217391304,0.717391304347826,0.225,0.15217391304347827,0.17391304347826086,0,0,0,1
antonio-rudiger,30,Centre-Back,1.9,40000.0,57,2,34,1,1,1,0,0,54,5,4,12,0,0,53,2,0,2,0,0,0.029411764705882353,0.09259259259259259,0.03773584905660377,0.029411764705882353,0.07407407407407407,0.0,0,1,0,0
jan-oblak,30,Goalkeeper,1.88,40000.0,56,0,46,0,0,0,0,0,51,0,2,0,0,0,38,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0392156862745098,0.02631578947368421,1,0,0,0
martin-zubimendi,24,Defensive Midfield,1.81,40000.0,1,0,41,0,0,7,0,0,47,3,2,7,0,0,44,1,4,14,0,0,0.0,0.06382978723404255,0.022727272727272728,0.0,0.0425531914893617,0.09090909090909091,0,0,1,0
yeremy-pino,20,Right Winger,1.72,38000.0,9,1,37,7,1,6,0,0,40,7,4,6,0,0,46,4,7,9,0,0,0.1891891891891892,0.175,0.08695652173913043,0.02702702702702703,0.1,0.15217391304347827,0,0,0,1
diego-moreno,21,Right-Back,1.77,400.0,0,0,24,1,0,6,0,0,26,1,0,6,0,0,37,1,4,6,0,0,0.041666666666666664,0.038461538461538464,0.02702702702702703,0.0,0.0,0.10810810810810811,0,1,0,0
ronald-araujo,24,Centre-Back,1.88,70000.0,12,0,33,2,1,3,0,0,43,4,0,7,0,0,31,1,2,8,0,1,0.06060606060606061,0.09302325581395349,0.03225806451612903,0.030303030303030304,0.0,0.06451612903225806,0,1,0,0
